zip_code,drive_min,distance_mi
95605,84.3,73.1
94019,82.6,56.3
95431,65.3,41.4
95206,92.0,71.5
95472,78.7,51.4
95053,70.3,55.7
94559,54.3,36.9
95448,87.7,65.8
95032,87.6,67.4
95219,110.6,76.1
95404,65.1,49.9
94707,20.0,9.0
94158,32.7,19.2
95033,84.5,67.5
94018,70.3,44.3
94525,23.1,15.4
95419,83.0,60.9
94548,69.3,50.4
94562,64.3,48.4
95641,75.1,57.4
94062,78.8,55.2
94105,30.6,18.4
94939,28.2,11.6
94104,32.2,18.7
94121,46.4,24.4
94133,35.4,19.6
94513,67.8,52.3
94528,57.4,35.8
94551,61.9,50.8
94553,36.0,23.8
94188,38.7,22.1
94574,112.0,65.8
94576,74.6,57.6
94585,,
94599,59.8,45.6
94613,26.7,19.2
94709,21.3,10.3
95690,93.8,71.5
94941,60.0,24.9
94952,55.7,36.8
94963,44.2,20.1
95131,65.6,52.1
95135,133.2,90.2
95625,61.9,47.1
95444,74.6,56.3
95476,50.9,34.2
94129,44.5,23.2
94550,130.0,72.6
94552,38.4,31.6
94558,,
94612,23.0,14.3
95814,87.1,75.8
95363,128.9,96.4
95304,83.3,74.2
95639,97.0,87.3
94573,63.6,49.5
94586,61.6,48.5
94549,38.9,24.4
95818,88.7,75.7
95119,81.7,66.2
94945,39.0,23.9
95123,81.7,62.8
95242,92.3,73.5
94534,46.0,32.0
94303,69.2,48.6
94517,66.0,41.4
94706,15.3,7.9
94507,46.7,31.7
95680,86.6,68.3
94526,46.6,34.2
94109,35.2,20.0
94041,74.0,57.5
95831,91.4,80.2
94117,38.2,21.7
94950,65.6,31.7
94928,55.9,42.4
95117,74.2,59.7
94591,32.9,22.4
94401,53.4,36.2
94544,49.7,31.9
94803,24.5,13.2
94970,57.0,28.0
95116,70.2,56.0
94028,75.3,57.1
94587,45.3,33.6
94402,58.1,42.1
94074,90.2,62.2
94972,68.6,52.6
94021,,
95832,104.3,87.9
94539,66.0,47.3
95691,96.6,79.7
95138,93.8,69.5
94621,37.3,22.4
95694,79.7,60.1
95377,75.9,67.3
95002,,
95148,78.8,60.9
94957,29.3,13.9
95815,95.2,80.7
95112,69.1,54.8
95687,60.3,46.0
94608,19.8,11.6
94510,43.9,29.9
94938,55.3,25.7
94567,100.8,71.5
94933,47.3,21.5
94043,74.9,58.3
95758,102.5,87.8
94568,50.6,40.4
94086,76.0,57.1
94404,55.4,42.4
94589,35.6,22.9
94111,33.3,19.0
94964,16.6,8.5
94521,52.4,33.7
94947,50.4,26.2
94582,58.4,41.4
94536,57.3,40.3
94070,64.1,42.9
94931,53.1,39.1
94511,71.6,52.3
94575,41.8,25.4
94066,48.8,33.3
94503,47.0,33.4
95618,80.0,65.2
94306,75.5,51.4
94601,29.0,18.7
94519,48.9,31.3
94547,24.4,13.8
95612,107.3,80.7
95615,102.3,76.0
95620,78.1,59.0
95686,105.6,73.6
95607,106.2,81.1
94130,26.5,16.1
94005,45.7,25.7
94014,48.4,29.2
94020,95.6,67.5
94703,20.0,10.5
94112,39.3,24.9
94564,25.2,12.8
94607,21.5,13.1
94806,15.6,8.0
94920,41.4,16.5
94922,73.1,55.8
94708,23.6,10.2
94027,71.6,49.3
94566,57.8,44.6
